Повести Белкина,Александр Пушкин,https://img3.labirint.ru/rc/01574ead4396f0b8d6ee31ed6da1c7cc/363x561q80/books65/644435/cover.png?1575383551,https://www.labirint.ru/books/644435/
Белая гвардия,Михаил Булгаков,https://img4.labirint.ru/rc/7f34ef17d75f2bc67865a934f8092efa/363x561q80/books63/626782/cover.png?1575394012,https://www.labirint.ru/books/626782/
Обломов,Иван Гончаров,https://img4.labirint.ru/rc/f5d682c268adaa63d9b9823b131ae832/363x561q80/books61/604772/cover.png?1575448386,https://www.labirint.ru/books/604772/
Горе от ума,Александр Грибоедов,https://img3.labirint.ru/rc/57f56db5ffc0605a006e0722b300701b/363x561q80/books64/632697/cover.png?1575394200,https://www.labirint.ru/books/632697/
Записки из подполья,Фёдор Достоевский,https://img4.labirint.ru/rc/0972784b6fdea57ad3311a22f2d84f30/363x561q80/books64/630368/cover.png?1575394127,https://www.labirint.ru/books/630368/
Старик и море,Эрнест Хемингуэй,https://img3.labirint.ru/rc/d738aac17e5ef961ae1fd30d4f148238/363x561q80/books77/761351/cover.jpg?1597735547,https://www.labirint.ru/books/761351/
Бусприданница,Александр Островский,https://img4.labirint.ru/rc/43616018640fc33e219ded49f6222ad4/363x561q80/books54/534788/cover.jpg?1612697220,https://www.labirint.ru/books/534788/
Триумфальная арка,Эрих Мария Ремарк,https://img4.labirint.ru/rc/d52d0ab97e88fa58e05871219b7e5ee8/363x561q80/books60/599528/cover.jpg?1612708272,https://www.labirint.ru/books/599528/
Судьба человека,Михаил Шолохов,https://img4.labirint.ru/rc/e0455204a33340f90b0ce109bb314fa6/363x561q80/books64/638420/cover.png?1575383294,https://www.labirint.ru/books/638420/
Собака Баскервилей,Артур Конан Дойл,https://img3.labirint.ru/rc/f3faba0c94eb320cdee3eb0761b13eac/363x561q80/books79/787079/cover.png?1612272342,https://www.labirint.ru/books/787079/
451° по Фаренгейту,Рэй Брэдбери,https://img4.labirint.ru/rc/43632d6d38e15108267ef77f125ac6d0/363x561q80/books72/712914/cover.jpg?1568626195,https://www.labirint.ru/books/712914/
Кому на Руси жить хорошо,Николай Некрасов,https://img3.labirint.ru/rc/f1777726295f1b70aae07dd086718146/363x561q80/books60/598709/cover.jpg?1612711540,https://www.labirint.ru/books/598709/
Старуха Изергиль и другие рассказы,Максим Горький,img,ссылки нет
Игрок,Фёдор Достоевский,https://img4.labirint.ru/rc/0972784b6fdea57ad3311a22f2d84f30/363x561q80/books64/630368/cover.png?1575394127,https://www.labirint.ru/books/630368/
Тёмные аллеи,Иван Бунин,https://img4.labirint.ru/rc/bba73d513fb733b3e3622185f666bc2d/363x561q80/books66/655696/cover.png?1575372524,https://www.labirint.ru/books/655696/
Тихий Дон,Михаил Шолохов,https://img3.labirint.ru/rc/950ec50a325fd6c6a0b4d2740c322d43/363x561q80/books62/616505/cover.png?1575387009,https://www.labirint.ru/books/616505/
Недоросль,Денис Фонвизин,https://img4.labirint.ru/rc/0413c6718150181c562d6aa6b36ad955/363x561q80/books65/647346/cover.jpg?1617974710,https://www.labirint.ru/books/647346/
Ревизор,Николай Гоголь,https://img3.labirint.ru/rc/0f9b35108d1a8a317494de6bff186198/363x561q80/books64/634513/cover.png?1575383111,https://www.labirint.ru/books/634513/
Государь,Никколо Макиавелли,https://img3.labirint.ru/rc/592eec0da794223847a2d154fbb5fad3/363x561q80/books47/465869/cover.jpg?1563796592,https://www.labirint.ru/books/465869/
